Current (A), Voltage (V), Temperature (K), Source V, Current Out (A), ContactConf
Current (A), Voltage (V), Temperature (K), Source V, Current Out (A), ContactConf
0.004462,0.000189,291.71,0.052507,-0.004462,R34;21
-0.004464,-0.000188,291.71,-0.052232,0.004464,R34;21
0.003825,0.000162,291.71,0.045027,-0.003825,R34;21
-0.003826,-0.000161,291.71,-0.044754,0.003826,R34;21
0.003187,0.000135,291.71,0.037538,-0.003187,R34;21
-0.003188,-0.000134,291.71,-0.037274,0.003188,R34;21
0.00255,0.000108,291.71,0.030055,-0.00255,R34;21
-0.002551,-0.000107,291.71,-0.029795,0.002551,R34;21
0.001911,8.121987E-5,291.71,0.022581,-0.001911,R34;21
-0.001914,-8.046186E-5,291.71,-0.022301,0.001914,R34;21
0.001274,5.426649E-5,291.71,0.015096,-0.001274,R34;21
-0.001276,-5.347101E-5,291.71,-0.01483,0.001276,R34;21
0.000637,2.747423E-5,291.71,0.00764,-0.000637,R34;21
-0.000637,-2.645665E-5,291.71,-0.007332,0.000637,R34;21
-0.000637,-2.65089E-5,291.71,-0.007334,0.000637,R34;21
0.000637,2.74326E-5,291.71,0.007638,-0.000637,R34;21
-0.001276,-5.355924E-5,291.71,-0.014833,0.001276,R34;21
0.001274,5.434497E-5,291.71,0.015099,-0.001274,R34;21
-0.001913,-8.047033E-5,291.71,-0.022308,0.001913,R34;21
0.001911,8.124323E-5,291.71,0.022576,-0.001911,R34;21
-0.002551,-0.000107,291.71,-0.029786,0.002551,R34;21
0.002549,0.000108,291.71,0.030067,-0.002549,R34;21
-0.003188,-0.000134,291.71,-0.037269,0.003188,R34;21
0.003187,0.000135,291.71,0.037534,-0.003187,R34;21
-0.003826,-0.000161,291.71,-0.044752,0.003826,R34;21
0.003825,0.000162,291.71,0.045031,-0.003825,R34;21
-0.004463,-0.000188,291.71,-0.052233,0.004463,R34;21
0.004461,0.000189,291.71,0.0525,-0.004461,R34;21
-0.005102,-0.000215,291.71,-0.059715,0.005102,R34;21
0.0051,0.000216,291.71,0.059991,-0.0051,R34;21
-0.005738,-0.000242,291.71,-0.067193,0.005738,R34;21
0.005737,0.000243,291.71,0.067469,-0.005737,R34;21
-0.006377,-0.000269,291.71,-0.074683,0.006377,R34;21
0.006375,0.00027,291.71,0.074946,-0.006375,R34;21
0.006375,0.000447,291.71,0.074713,-0.006375,R14;23
-0.006376,-0.000446,291.71,-0.074434,0.006376,R14;23
0.005737,0.000403,291.71,0.067249,-0.005737,R14;23
-0.005738,-0.000401,291.71,-0.066977,0.005738,R14;23
0.0051,0.000358,291.71,0.059794,-0.0051,R14;23
-0.005102,-0.000357,291.71,-0.059521,0.005102,R14;23
0.004462,0.000313,291.71,0.052334,-0.004462,R14;23
-0.004463,-0.000312,291.71,-0.052069,0.004463,R14;23
0.003825,0.000269,291.71,0.04488,-0.003825,R14;23
-0.003826,-0.000267,291.71,-0.04461,0.003826,R14;23
0.003187,0.000224,291.71,0.037414,-0.003187,R14;23
-0.003188,-0.000223,291.71,-0.037146,0.003188,R14;23
0.00255,0.000179,291.71,0.029969,-0.00255,R14;23
-0.002551,-0.000178,291.71,-0.0297,0.002551,R14;23
0.001911,0.000135,291.71,0.022502,-0.001911,R14;23
-0.001913,-0.000133,291.71,-0.022234,0.001913,R14;23
0.001274,8.989007E-5,291.71,0.01505,-0.001274,R14;23
-0.001276,-8.887568E-5,291.71,-0.014793,0.001276,R14;23
0.000637,4.521892E-5,291.71,0.007612,-0.000637,R14;23
-0.000637,-4.409247E-5,291.71,-0.007306,0.000637,R14;23
-0.000637,-4.40606E-5,291.71,-0.007303,0.000637,R14;23
0.000637,4.522256E-5,291.71,0.007611,-0.000637,R14;23
-0.001276,-8.893056E-5,291.71,-0.01478,0.001276,R14;23
0.001274,8.978388E-5,291.71,0.015059,-0.001274,R14;23
-0.001913,-0.000133,291.71,-0.022232,0.001913,R14;23
0.001912,0.000135,291.71,0.022512,-0.001912,R14;23
-0.002551,-0.000178,291.71,-0.029698,0.002551,R14;23
0.002549,0.000179,291.71,0.029968,-0.002549,R14;23
-0.003188,-0.000223,291.71,-0.037144,0.003188,R14;23
0.003186,0.000224,291.71,0.037418,-0.003186,R14;23
-0.003827,-0.000268,291.71,-0.044611,0.003827,R14;23
0.003825,0.000269,291.71,0.044886,-0.003825,R14;23
-0.004464,-0.000312,291.71,-0.052063,0.004464,R14;23
0.004462,0.000313,291.71,0.05233,-0.004462,R14;23
-0.005102,-0.000357,291.71,-0.059536,0.005102,R14;23
0.0051,0.000358,291.71,0.059804,-0.0051,R14;23
-0.005739,-0.000402,291.71,-0.066976,0.005739,R14;23
0.005737,0.000402,291.71,0.067246,-0.005737,R14;23
-0.006377,-0.000446,291.71,-0.07444,0.006377,R14;23
0.006375,0.000447,291.71,0.074715,-0.006375,R14;23
